Strategy,Avg. Baseline %HITS@N,Avg. Reform %HITS@N,% Imp. %HITS@N,Avg. Baseline MAP,Avg. Reform MAP,% Imp. MAP,Avg. Baseline MRR,Avg. Reform MRR,% Imp. MRR
TITLE*T_OB*EB,0.2279305897,0.2674294256,0.1732932641,0.058586386,0.090057915,0.5371816064,0.0744906485,0.1153622727,0.5486812777
TITLE*T_OB*T_S2R*EB,0.2279305897,0.2673396468,0.1728993778,0.058586386,0.0884964988,0.510530087,0.0744906485,0.1138188934,0.5279621771
BLIZZARD--OB*S2R*EB,0.2279305897,0.2671350663,0.1720018216,0.058586386,0.1005810418,0.7167988776,0.0744906485,0.1284367579,0.7241997552
BLIZZARD--TITLE*OB*OTHER*T_S2R,0.2279305897,0.2671211939,0.171940959,0.058586386,0.0855007319,0.4593959045,0.0744906485,0.10974473,0.4732685542
OB*T_S2R*CODE*EB,0.2279305897,0.2671121774,0.1719014012,0.058586386,0.0914621134,0.5611496038,0.0744906485,0.1146295151,0.5388443706
OB*T_TITLE*T_OTHER*CODE,0.2279305897,0.267011927,0.1714615722,0.058586386,0.0889525423,0.5183142081,0.0744906485,0.1105206236,0.4836845412
BLIZZARD--OB*T_S2R*EB,0.2279305897,0.2669747694,0.1712985509,0.058586386,0.098049294,0.6735849511,0.0744906485,0.1256932856,0.6873700008
BLIZZARD--OB*T_S2R*CODE*EB,0.2279305897,0.2669518764,0.1711981121,0.058586386,0.0929397302,0.5863707667,0.0744906485,0.1206289656,0.6193840178
TITLE*T_OB*T_OTHER*T_EB,0.2279305897,0.2669429289,0.1711588572,0.058586386,0.0903904062,0.5428568364,0.0744906485,0.1142131142,0.5332543959
TITLE*T_S2R*T_EB,0.2279305897,0.2668953102,0.1709499394,0.058586386,0.0940515837,0.6053487859,0.0744906485,0.1212233111,0.627362811
TITLE*S2R,0.2279305897,0.2668675092,0.1708279683,0.058586386,0.0950648656,0.6226443044,0.0744906485,0.1191212154,0.5991432196
BLIZZARD--TITLE*OB*OTHER*T_S2R*CODE*T_EB,0.2279305897,0.2668093225,0.1705726855,0.058586386,0.0860776368,0.4692429863,0.0744906485,0.10997575,0.4763698828
BLIZZARD--TITLE*OB*OTHER*T_S2R*CODE,0.2279305897,0.2667450722,0.1702908,0.058586386,0.0857236605,0.4632010312,0.0744906485,0.1097263055,0.4730212149
OB*T_TITLE*T_EB,0.2279305897,0.266685247,0.1700283289,0.058586386,0.0879305126,0.500869374,0.0744906485,0.1112510412,0.4934900343
BLIZZARD--TITLE*OB*OTHER*T_S2R*T_EB,0.2279305897,0.2665080721,0.1692510093,0.058586386,0.0859180323,0.4665187276,0.0744906485,0.1102434497,0.4799636191
OB*T_TITLE*S2R,0.2279305897,0.2665007955,0.1692190846,0.058586386,0.0882756489,0.5067604422,0.0744906485,0.1092819219,0.4670555847
OB*T_TITLE*S2R*CODE*T_EB,0.2279305897,0.2664758333,0.1691095683,0.058586386,0.0908974318,0.5515111601,0.0744906485,0.1120673227,0.5044482085
BLIZZARD--TITLE*OB*OTHER*CODE*EB,0.2279305897,0.26639898,0.1687723896,0.058586386,0.0859558365,0.4671639999,0.0744906485,0.1099417734,0.4759137639
TITLE*T_OB,0.2279305897,0.2663319844,0.16847846,0.058586386,0.0890419126,0.5198396531,0.0744906485,0.1130294824,0.5173647252
TITLE*T_OB*T_OTHER*T_S2R*T_EB,0.2279305897,0.26628633,0.1682781602,0.058586386,0.0914094859,0.5602513147,0.0744906485,0.115486513,0.5503491421
BLIZZARD--TITLE*OB*OTHER*EB,0.2279305897,0.266189425,0.1678530087,0.058586386,0.085975592,0.4675012035,0.0744906485,0.1102430289,0.4799579703
BLIZZARD--OB*EB,0.2279305897,0.2661569831,0.1677106766,0.058586386,0.0974670002,0.663645887,0.0744906485,0.1250214219,0.6783505645
OB*T_TITLE*T_S2R*T_EB,0.2279305897,0.2661352582,0.167615363,0.058586386,0.0885883661,0.5120981529,0.0744906485,0.1118924049,0.5021000248
TITLE*T_OB*T_OTHER*T_S2R,0.2279305897,0.2659357656,0.1667401287,0.058586386,0.0897809351,0.5324538874,0.0744906485,0.11187691,0.5018920133
OB*S2R*T_EB,0.2279305897,0.2659122376,0.1666369043,0.058586386,0.089017176,0.5194174274,0.0744906485,0.110749965,0.4867633358
OB*T_TITLE*T_S2R*CODE*T_EB,0.2279305897,0.2658829985,0.1665086238,0.058586386,0.0900604682,0.5372251859,0.0744906485,0.1123521699,0.5082721421
BLIZZARD--TITLE*OB*OTHER*S2R,0.2279305897,0.2658129812,0.1662014368,0.058586386,0.0852914606,0.4558238923,0.0744906485,0.1082864269,0.4536915585
TITLE*T_OB*T_EB,0.2279305897,0.2658017026,0.1661519541,0.058586386,0.0901332404,0.5384673216,0.0744906485,0.1154817284,0.5502849121
BLIZZARD--TITLE*OB*OTHER*S2R*CODE*T_EB,0.2279305897,0.2656941109,0.165679917,0.058586386,0.0860305735,0.4684396721,0.0744906485,0.1092103314,0.4660945186
BLIZZARD--OB*T_TITLE*S2R*CODE,0.2279305897,0.2655820903,0.1651884489,0.058586386,0.0914149715,0.5603449473,0.0744906485,0.1163914764,0.5624978269
OB*T_TITLE*CODE*T_EB,0.2279305897,0.2655814402,0.1651855968,0.058586386,0.0899001178,0.5344881953,0.0744906485,0.1117181085,0.4997601822
TITLE*T_OB*T_S2R,0.2279305897,0.2655446552,0.1650242102,0.058586386,0.0872185417,0.4887168778,0.0744906485,0.1110951017,0.4913966245
TITLE*T_OB*T_OTHER,0.2279305897,0.2655158656,0.1648979012,0.058586386,0.088389021,0.5086955685,0.0744906485,0.1102614583,0.4802053754
